Passengers (All Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"4,80,54,917","95,78,435","5,76,33,352"
2002,11,"4,48,50,246","90,16,535","5,38,66,781"
2002,12,"4,96,84,353","1,00,38,794","5,97,23,147"
2002,TOTAL,"55,18,99,643","11,87,04,850","67,06,04,493"
2003,1,"4,30,32,450","97,26,436","5,27,58,886"
2003,2,"4,11,66,780","82,83,372","4,94,50,152"
2003,3,"4,99,92,700","95,38,653","5,95,31,353"
2003,4,"4,70,33,260","83,09,305","5,53,42,565"
2003,5,"4,91,52,352","88,01,873","5,79,54,225"
2003,6,"5,22,09,516","1,03,47,900","6,25,57,416"
2003,7,"5,58,10,773","1,17,05,206","6,75,15,979"
2003,8,"5,39,20,973","1,17,99,672","6,57,20,645"
2003,9,"4,42,13,408","94,54,647","5,36,68,055"
2003,10,"4,99,44,935","96,08,358","5,95,53,293"
2003,11,"4,70,59,495","94,81,886","5,65,41,381"
2003,12,"4,97,57,124","1,05,12,547","6,02,69,671"
2003,TOTAL,"58,32,93,766","11,75,69,855","70,08,63,621"
2004,1,"4,38,15,481","1,02,52,443","5,40,67,924"
2004,2,"4,53,06,644","93,10,317","5,46,16,961"
2004,3,"5,41,47,227","1,09,76,440","6,51,23,667"
2004,4,"5,32,53,194","1,08,02,022","6,40,55,216"
2004,5,"5,30,30,873","1,09,71,254","6,40,02,127"
2004,6,"5,69,59,142","1,21,59,514","6,91,18,656"
2004,7,"5,96,14,287","1,35,02,913","7,31,17,200"
2004,8,"5,73,80,873","1,32,03,566","7,05,84,439"
2004,9,"4,76,71,785","1,05,70,682","5,82,42,467"
2004,10,"5,41,67,489","1,07,72,177","6,49,39,666"
2004,11,"5,17,82,564","1,01,74,320","6,19,56,884"
2004,12,"5,26,40,057","1,12,44,427","6,38,84,484"
2004,TOTAL,"62,97,69,616","13,39,40,075","76,37,09,691"
2005,1,"4,79,77,657","1,13,87,275","5,93,64,932"
2005,2,"4,70,74,882","99,45,067","5,70,19,949"
2005,3,"5,88,38,975","1,24,79,643","7,13,18,618"
2005,4,"5,49,08,859","1,15,21,174","6,64,30,033"
2005,5,"5,73,23,876","1,21,64,600","6,94,88,476"
2005,6,"5,97,24,061","1,31,40,061","7,28,64,122"
2005,7,"6,23,96,446","1,44,21,209","7,68,17,655"
2005,8,"5,91,10,633","1,37,03,334","7,28,13,967"
2005,9,"5,06,00,325","1,13,25,800","6,19,26,125"
2005,10,"5,37,38,093","1,11,07,586","6,48,45,679"
2005,11,"5,27,66,404","1,05,80,099","6,33,46,503"
2005,12,"5,28,01,276","1,18,12,574","6,46,13,850"
2005,TOTAL,"65,72,61,487","14,35,88,422","80,08,49,909"
2006,1,"4,88,86,043","1,17,24,098","6,06,10,141"
2006,2,"4,73,48,142","1,01,67,275","5,75,15,417"
2006,3,"5,82,86,011","1,27,07,241","7,09,93,252"
2006,4,"5,58,28,555","1,26,19,137","6,84,47,692"
2006,5,"5,71,45,193","1,26,10,793","6,97,55,986"
2006,6,"5,92,97,121","1,36,90,835","7,29,87,956"
2006,7,"6,08,38,606","1,49,12,621","7,57,51,227"
2006,8,"5,83,03,233","1,41,71,796","7,24,75,029"
2006,9,"4,99,49,551","1,20,10,922","6,19,60,473"
2006,10,"5,50,88,986","1,15,17,228","6,66,06,214"
2006,11,"5,38,52,209","1,12,22,687","6,50,74,896"
2006,12,"5,35,38,970","1,23,85,958","6,59,24,928"
2006,TOTAL,"65,83,62,620","14,97,40,591","80,81,03,211"
2007,1,"5,00,22,168","1,20,72,442","6,20,94,610"
2007,2,"4,77,66,421","1,05,91,580","5,83,58,001"
2007,3,"5,92,44,232","1,32,47,375","7,24,91,607"
2007,4,"5,73,98,267","1,27,95,517","7,01,93,784"
2007,5,"5,92,85,571","1,29,72,589","7,22,58,160"
2007,6,"6,14,93,934","1,41,70,877","7,56,64,811"
2007,7,"6,34,57,403","1,54,70,687","7,89,28,090"
2007,8,"6,26,60,179","1,51,31,296","7,77,91,475"
2007,9,"5,23,10,402","1,23,32,434","6,46,42,836"
2007,10,"5,72,08,618","1,23,92,938","6,96,01,556"
2007,11,"5,50,47,116","1,20,23,481","6,70,70,597"
2007,12,"5,32,91,139","1,31,23,756","6,64,14,895"
2007,TOTAL,"67,91,85,450","15,63,24,972","83,55,10,422"
2008,1,"5,02,45,100","1,27,94,514","6,30,39,614"
2008,2,"5,01,18,363","1,16,77,400","6,17,95,763"
2008,3,"5,92,13,077","1,42,21,964","7,34,35,041"
2008,4,"5,56,11,053","1,29,83,854","6,85,94,907"
2008,5,"5,80,47,400","1,36,28,619","7,16,76,019"
2008,6,"5,95,59,171","1,44,47,504","7,40,06,675"
2008,7,"6,14,01,480","1,54,88,628","7,68,90,108"
2008,8,"5,89,66,473","1,53,69,492","7,43,35,965"
2008,9,"4,76,80,101","1,17,59,694","5,94,39,795"
2008,10,"5,29,56,023","1,19,52,515","6,49,08,538"
2008,11,"4,76,58,141","1,12,88,311","5,89,46,452"
2008,12,"5,02,53,800","1,24,99,216","6,27,53,016"
2008,TOTAL,"65,17,10,182","15,81,11,711","80,98,21,893"
2009,1,"4,48,25,056","1,20,75,267","5,69,00,323"
2009,2,"4,36,80,328","1,04,12,676","5,40,93,004"
2009,3,"5,35,34,891","1,25,08,793","6,60,43,684"
2009,4,"5,22,47,781","1,26,29,805","6,48,77,586"
2009,5,"5,29,51,246","1,18,06,548","6,47,57,794"
2009,6,"5,58,98,027","1,31,99,636","6,90,97,663"
2009,7,"5,94,68,957","1,49,53,615","7,44,22,572"
2009,8,"5,65,68,180","1,48,44,821","7,14,13,001"
2009,9,"4,82,35,025","1,16,59,775","5,98,94,800"
2009,10,"5,22,79,405","1,19,05,529","6,41,84,934"
2009,11,"4,85,84,832","1,10,93,714","5,96,78,546"
2009,12,"4,97,93,527","1,26,59,154","6,24,52,681"
2009,TOTAL,"61,80,67,255","14,97,49,333","76,78,16,588"
2010,1,"4,55,01,620","1,23,93,439","5,78,95,059"
2010,2,"4,24,40,614","1,06,94,165","5,31,34,779"
2010,3,"5,44,24,077","1,32,79,320","6,77,03,397"
2010,4,"5,24,98,074","1,23,98,700","6,48,96,774"
2010,5,"5,38,42,422","1,33,80,664","6,72,23,086"
2010,6,"5,66,89,853","1,44,06,776","7,10,96,629"
2010,7,"5,91,42,493","1,60,26,852","7,51,69,345"
2010,8,"5,73,70,748","1,53,17,926","7,26,88,674"
2010,9,"5,03,04,708","1,25,99,149","6,29,03,857"
2010,10,"5,48,26,050","1,28,74,707","6,77,00,757"
2010,11,"5,14,20,519","1,16,51,314","6,30,71,833"
2010,12,"5,10,76,415","1,29,17,451","6,39,93,866"
2010,TOTAL,"62,95,37,593","15,79,40,463","78,74,78,056"
2011,1,"4,63,05,000","1,26,68,763","5,89,73,763"
2011,2,"4,36,57,818","1,09,44,610","5,46,02,428"
2011,3,"5,56,49,428","1,34,73,705","6,91,23,133"
2011,4,"5,28,58,479","1,35,37,152","6,63,95,631"
2011,5,"5,59,82,234","1,39,35,132","6,99,17,366"
2011,6,"5,77,78,699","1,48,14,672","7,25,93,371"
2011,7,"6,03,10,568","1,66,23,674","7,69,34,242"
2011,8,"5,74,03,835","1,57,53,438","7,31,57,273"
2011,9,"5,09,82,170","1,32,20,884","6,42,03,054"
2011,10,"5,41,24,363","1,31,99,913","6,73,24,276"
2011,11,"5,16,60,083","1,21,56,133","6,38,16,216"
2011,12,"5,15,34,990","1,35,59,050","6,50,94,040"
2011,TOTAL,"63,82,47,667","16,38,87,126","80,21,34,793"
2012,1,"4,70,80,840","1,32,06,801","6,02,87,641"
2012,2,"4,64,05,385","1,17,32,944","5,81,38,329"
2012,3,"5,62,00,391","1,43,87,677","7,05,88,068"
2012,4,"5,36,91,570","1,39,95,377","6,76,86,947"
2012,5,"5,57,49,349","1,42,91,285","7,00,40,634"
2012,6,"5,79,03,293","1,55,82,335","7,34,85,628"
2012,7,"5,96,88,267","1,69,69,590","7,66,57,857"
2012,8,"5,86,46,304","1,66,16,643","7,52,62,947"
2012,9,"5,01,34,504","1,37,91,714","6,39,26,218"
2012,10,"5,37,79,646","1,33,97,785","6,71,77,431"
2012,11,"5,18,44,482","1,27,63,847","6,46,08,329"
2012,12,"5,11,65,451","1,40,97,885","6,52,63,336"
2012,TOTAL,"64,22,89,482","17,08,33,883","81,31,23,365"
2013,1,"4,78,16,859","1,37,68,819","6,15,85,678"
2013,2,"4,57,40,158","1,20,37,584","5,77,77,742"
2013,3,"5,65,64,538","1,51,88,333","7,17,52,871"
2013,4,"5,32,28,575","1,43,01,619","6,75,30,194"
2013,5,"5,65,62,929","1,53,53,665","7,19,16,594"
2013,6,"5,79,90,789","1,64,03,199","7,43,93,988"
2013,7,"5,93,10,478","1,77,48,869","7,70,59,347"
2013,8,"5,81,15,405","1,76,66,442","7,57,81,847"
2013,9,"5,07,66,098","1,43,68,204","6,51,34,302"
2013,10,"5,47,06,246","1,43,41,721","6,90,47,967"
2013,11,"5,05,42,543","1,32,60,466","6,38,03,009"
2013,12,"5,43,32,936","1,52,05,588","6,95,38,524"
2013,TOTAL,"64,56,77,554","17,96,44,509","82,53,22,063"
2014,1,"4,79,57,371","1,46,92,606","6,26,49,977"
2014,2,"4,55,13,184","1,24,82,600","5,79,95,784"
2014,3,"5,77,62,170","1,56,04,456","7,33,66,626"
2014,4,"5,52,47,482","1,54,71,267","7,07,18,749"
2014,5,"5,78,88,637","1,63,38,378","7,42,27,015"
2014,6,"5,92,62,095","1,73,61,717","7,66,23,812"
2014,7,"6,17,57,698","1,87,84,523","8,05,42,221"
2014,8,"5,97,58,814","1,87,84,355","7,85,43,169"
2014,9,"5,25,29,472","1,49,85,203","6,75,14,675"
2014,10,"5,70,84,923","1,49,81,228","7,20,66,151"
2014,11,"5,25,78,037","1,37,30,768","6,63,08,805"
2014,12,"5,54,87,072","1,58,05,756","7,12,92,828"
2014,TOTAL,"66,28,26,955","18,90,22,857","85,18,49,812"
2015,1,"4,97,27,992","1,54,67,163","6,51,95,155"
2015,2,"4,71,64,898","1,33,25,293","6,04,90,191"
2015,3,"5,95,57,626","1,63,42,061","7,58,99,687"
2015,4,"5,76,98,342","1,60,25,595","7,37,23,937"
2015,5,"6,02,52,607","1,71,15,194","7,73,67,801"
2015,6,"6,18,11,276","1,82,03,199","8,00,14,475"
2015,7,"6,51,29,348","2,02,15,002","8,53,44,350"
2015,8,"6,27,70,806","1,99,14,264","8,26,85,070"
2015,9,"5,59,89,599","1,61,11,956","7,21,01,555"
2015,10,"6,08,92,617","1,61,88,843","7,70,81,460"
2015,11,"5,71,50,828","1,48,46,611","7,19,97,439"
2015,12,"5,78,70,955","1,68,59,827","7,47,30,782"
2015,TOTAL,"69,60,16,894","20,06,15,008","89,66,31,902"
2016,1,"5,24,74,245","1,64,92,079","6,89,66,324"
2016,2,"5,11,11,616","1,44,21,545","6,55,33,161"
2016,3,"6,15,93,610","1,73,82,692","7,89,76,302"
2016,4,"5,88,94,278","1,65,96,730","7,54,91,008"
2016,5,"6,27,52,723","1,78,68,001","8,06,20,724"
2016,6,"6,47,57,943","1,94,07,251","8,41,65,194"
2016,7,"6,61,35,126","2,14,35,123","8,75,70,249"
2016,8,"6,34,98,615","2,06,54,207","8,41,52,822"
2016,9,"5,86,20,581","1,71,61,889","7,57,82,470"
2016,10,"6,17,09,421","1,69,05,446","7,86,14,867"
2016,11,"5,92,69,837","1,56,51,535","7,49,21,372"
2016,12,"5,91,78,833","1,80,14,473","7,71,93,306"
2016,TOTAL,"71,99,96,828","21,19,90,971","93,19,87,799"
2017,1,"5,41,09,329","1,74,87,735","7,15,97,064"
2017,2,"5,10,78,172","1,47,08,873","6,57,87,045"
2017,3,"6,39,63,808","1,79,08,588","8,18,72,396"
2017,4,"6,10,99,004","1,86,86,523","7,97,85,527"
2017,5,"6,44,42,977","1,88,62,767","8,33,05,744"
2017,6,"6,67,46,463","2,06,76,407","8,74,22,870"
2017,7,"6,85,75,481","2,25,06,521","9,10,82,002"
2017,8,"6,66,64,019","2,20,06,413","8,86,70,432"
2017,9,"5,71,44,508","1,74,38,756","7,45,83,264"
2017,10,"6,46,20,256","1,76,04,236","8,22,24,492"
2017,11,"6,19,10,435","1,64,67,902","7,83,78,337"
2017,12,"6,13,74,167","1,84,66,028","7,98,40,195"
2017,TOTAL,"74,17,28,619","22,28,20,749","96,45,49,368"
2018,1,"5,57,37,463","1,74,52,793","7,31,90,256"
2018,TOTAL,"5,57,37,463","1,74,52,793","7,31,90,256"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
